[2025-01-27 16:04:53,740] INFO [GroupMetadataManager brokerId=0] Removed 0 expired offsets in 4 milliseconds. (kafka.coordinator.group.GroupMetadataManager)
[2025-01-27 16:06:46,622] INFO [GroupCoordinator 0]: Member consumer-spark-kafka-source-9a7a18fd-1316-402b-807d-70b69c9d2daf--787337731-driver-0-1-0509d216-8967-496c-885a-eb49d33a0a6b in group spark-kafka-source-9a7a18fd-1316-402b-807d-70b69c9d2daf--787337731-driver-0 has failed, removing it from the group (kafka.coordinator.group.GroupCoordinator)
[2025-01-27 16:06:46,623] INFO [GroupCoordinator 0]: Preparing to rebalance group spark-kafka-source-9a7a18fd-1316-402b-807d-70b69c9d2daf--787337731-driver-0 in state PreparingRebalance with old generation 1 (__consumer_offsets-3) (reason: removing member consumer-spark-kafka-source-9a7a18fd-1316-402b-807d-70b69c9d2daf--787337731-driver-0-1-0509d216-8967-496c-885a-eb49d33a0a6b on heartbeat expiration) (kafka.coordinator.group.GroupCoordinator)
[2025-01-27 16:06:46,623] INFO [GroupCoordinator 0]: Group spark-kafka-source-9a7a18fd-1316-402b-807d-70b69c9d2daf--787337731-driver-0 with generation 2 is now empty (__consumer_offsets-3) (kafka.coordinator.group.GroupCoordinator)
[2025-01-27 16:06:46,734] INFO [GroupCoordinator 0]: Member consumer-spark-kafka-source-ac6d5577-0727-4a0a-ad25-32ef34c22a20-739024620-driver-0-2-d52b4c76-701f-413d-a1b5-a1cee1660a76 in group spark-kafka-source-ac6d5577-0727-4a0a-ad25-32ef34c22a20-739024620-driver-0 has failed, removing it from the group (kafka.coordinator.group.GroupCoordinator)
[2025-01-27 16:06:46,734] INFO [GroupCoordinator 0]: Preparing to rebalance group spark-kafka-source-ac6d5577-0727-4a0a-ad25-32ef34c22a20-739024620-driver-0 in state PreparingRebalance with old generation 1 (__consumer_offsets-34) (reason: removing member consumer-spark-kafka-source-ac6d5577-0727-4a0a-ad25-32ef34c22a20-739024620-driver-0-2-d52b4c76-701f-413d-a1b5-a1cee1660a76 on heartbeat expiration) (kafka.coordinator.group.GroupCoordinator)
[2025-01-27 16:06:46,735] INFO [GroupCoordinator 0]: Group spark-kafka-source-ac6d5577-0727-4a0a-ad25-32ef34c22a20-739024620-driver-0 with generation 2 is now empty (__consumer_offsets-34) (kafka.coordinator.group.GroupCoordinator)
[2025-01-27 16:06:49,186] INFO Terminating process due to signal SIGINT (org.apache.kafka.common.utils.LoggingSignalHandler)
[2025-01-27 16:06:49,189] INFO [KafkaServer id=0] shutting down (kafka.server.KafkaServer)
[2025-01-27 16:06:49,190] INFO [KafkaServer id=0] Starting controlled shutdown (kafka.server.KafkaServer)
[2025-01-27 16:06:49,232] INFO [KafkaServer id=0] Controlled shutdown succeeded (kafka.server.KafkaServer)
[2025-01-27 16:06:49,234] INFO [/config/changes-event-process-thread]: Shutting down (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2025-01-27 16:06:49,235] INFO [/config/changes-event-process-thread]: Stopped (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2025-01-27 16:06:49,241] INFO [/config/changes-event-process-thread]: Shutdown completed (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2025-01-27 16:06:49,241] INFO [SocketServer brokerId=0] Stopping socket server request processors (kafka.network.SocketServer)
[2025-01-27 16:06:49,257] INFO [SocketServer brokerId=0] Stopped socket server request processors (kafka.network.SocketServer)
[2025-01-27 16:06:49,258] INFO [data-plane Kafka Request Handler on Broker 0], shutting down (kafka.server.KafkaRequestHandlerPool)
[2025-01-27 16:06:49,261] INFO [data-plane Kafka Request Handler on Broker 0], shut down completely (kafka.server.KafkaRequestHandlerPool)
[2025-01-27 16:06:49,270] INFO [ExpirationReaper-0-AlterAcls]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2025-01-27 16:06:49,299] INFO [ExpirationReaper-0-AlterAcls]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2025-01-27 16:06:49,299] INFO [ExpirationReaper-0-AlterAcls]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2025-01-27 16:06:49,301] INFO [KafkaApi-0] Shutdown complete. (kafka.server.KafkaApis)
[2025-01-27 16:06:49,301] INFO [ExpirationReaper-0-topic]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2025-01-27 16:06:49,424] INFO [ExpirationReaper-0-topic]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2025-01-27 16:06:49,424] INFO [ExpirationReaper-0-topic]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2025-01-27 16:06:49,425] INFO [TransactionCoordinator id=0] Shutting down. (kafka.coordinator.transaction.TransactionCoordinator)
[2025-01-27 16:06:49,426] INFO [ProducerId Manager 0]: Shutdown complete: last producerId assigned 0 (kafka.coordinator.transaction.ProducerIdManager)
[2025-01-27 16:06:49,426] INFO [Transaction State Manager 0]: Shutdown complete (kafka.coordinator.transaction.TransactionStateManager)
[2025-01-27 16:06:49,426] INFO [Transaction Marker Channel Manager 0]: Shutting down (kafka.coordinator.transaction.TransactionMarkerChannelManager)
[2025-01-27 16:06:49,427] INFO [Transaction Marker Channel Manager 0]: Shutdown completed (kafka.coordinator.transaction.TransactionMarkerChannelManager)
[2025-01-27 16:06:49,427] INFO [Transaction Marker Channel Manager 0]: Stopped (kafka.coordinator.transaction.TransactionMarkerChannelManager)
[2025-01-27 16:06:49,427] INFO [TransactionCoordinator id=0] Shutdown complete. (kafka.coordinator.transaction.TransactionCoordinator)
[2025-01-27 16:06:49,428] INFO [GroupCoordinator 0]: Shutting down. (kafka.coordinator.group.GroupCoordinator)
[2025-01-27 16:06:49,428] INFO [ExpirationReaper-0-Heartbeat]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2025-01-27 16:06:49,535] INFO [ExpirationReaper-0-Heartbeat]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2025-01-27 16:06:49,535] INFO [ExpirationReaper-0-Heartbeat]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2025-01-27 16:06:49,536] INFO [ExpirationReaper-0-Rebalance]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2025-01-27 16:06:49,735] INFO [ExpirationReaper-0-Rebalance]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2025-01-27 16:06:49,735] INFO [ExpirationReaper-0-Rebalance]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2025-01-27 16:06:49,736] INFO [GroupCoordinator 0]: Shutdown complete. (kafka.coordinator.group.GroupCoordinator)
[2025-01-27 16:06:49,737] INFO [ReplicaManager broker=0] Shutting down (kafka.server.ReplicaManager)
[2025-01-27 16:06:49,737] INFO [LogDirFailureHandler]: Shutting down (kafka.server.ReplicaManager$LogDirFailureHandler)
[2025-01-27 16:06:49,737] INFO [LogDirFailureHandler]: Shutdown completed (kafka.server.ReplicaManager$LogDirFailureHandler)
[2025-01-27 16:06:49,737] INFO [LogDirFailureHandler]: Stopped (kafka.server.ReplicaManager$LogDirFailureHandler)
[2025-01-27 16:06:49,738] INFO [ReplicaFetcherManager on broker 0] shutting down (kafka.server.ReplicaFetcherManager)
[2025-01-27 16:06:49,739] INFO [ReplicaFetcherManager on broker 0] shutdown completed (kafka.server.ReplicaFetcherManager)
[2025-01-27 16:06:49,740] INFO [ReplicaAlterLogDirsManager on broker 0] shutting down (kafka.server.ReplicaAlterLogDirsManager)
[2025-01-27 16:06:49,740] INFO [ReplicaAlterLogDirsManager on broker 0] shutdown completed (kafka.server.ReplicaAlterLogDirsManager)
[2025-01-27 16:06:49,740] INFO [ExpirationReaper-0-Fetch]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
